location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-01,-1.1025,-3.753,-2.6175623,0.0,0.9994988,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-02,2.497,-4.853,-1.7863334,0.0,0.87491405,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-03,3.747,-1.9029999,-0.17591663,0.90000004,0.5213926,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-04,4.447,-2.253,0.32200006,0.0,0.6070411,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-05,4.4969997,-2.753,0.18033333,0.0,0.55955744,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-06,4.9969997,0.597,2.6449165,0.8000001,0.23861226,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-07,6.797,-1.753,2.4865835,0.0,0.49598843,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-08,7.697,-0.90299994,2.5990832,0.0,0.6931438,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-09,3.997,-1.803,1.6240834,0.0,0.45382774,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-10,7.9969997,0.397,3.3470004,0.0,0.575426,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-11,7.397,-0.453,2.3303335,0.0,0.62912023,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-12,-0.30300003,-2.4529998,-1.4050833,1.2,0.61769855,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-13,5.4969997,-2.6529999,0.32408336,0.2,0.73230016,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-14,4.297,-1.503,0.81366676,0.0,0.60914665,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-15,7.697,-0.55300003,2.5386665,0.0,0.6904052,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-16,4.147,-1.503,2.0095003,2.2,0.22577314,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-17,3.647,0.747,1.7574168,42.5,0.15919048,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-18,0.747,-3.4529998,-0.24466662,13.699999,0.3176502,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-19,-3.853,-5.803,-5.04675,1.7000002,0.42180732,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-20,-2.4029999,-5.1530004,-3.561333,2.3999999,0.43784577,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-21,-1.9029999,-11.5529995,-5.39675,0.0,0.5115784,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-22,-2.9029999,-14.903,-9.117583,0.0,0.5227048,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-23,-7.1530004,-10.153,-9.055082,0.0,0.44174734,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-24,-9.703,-11.903,-10.709251,0.0,0.4117194,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-25,-6.6530004,-14.252999,-10.130082,0.0,0.4306358,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-26,1.297,-7.603,-2.5696661,0.0,0.52700675,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-27,3.447,0.497,1.651167,14.8,0.3510498,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-28,0.19700003,-5.303,-3.0800836,14.100001,0.3238817,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-29,-5.303,-9.603,-7.8634167,19.800003,0.33405864,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-30,-4.203,-11.403,-8.540501,0.2,0.56213844,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-01-31,-3.2029998,-14.752999,-8.6905,0.0,0.62921673,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-01,0.697,-8.853,-3.4571667,0.3,0.36198604,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-02,1.747,-3.9529998,-1.5384165,0.0,0.6463727,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-03,-0.20300001,-5.6530004,-2.911333,0.0,0.5411329,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-04,2.647,-1.803,1.1907502,3.299999,0.25641915,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-05,4.797,2.497,3.501167,4.7000003,0.36872464,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-06,5.7469997,1.5469999,3.8470004,16.5,0.54645944,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-07,4.147,-1.753,1.54075,0.2,0.7223761,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-08,4.897,-7.353,-0.34466663,0.6,1.0128179,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-09,2.297,-2.853,0.3761668,13.299999,0.32621306,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-10,4.097,-4.2530003,0.06575004,0.2,0.87345105,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-11,6.5969996,-0.353,3.7699165,1.7,0.36437786,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-12,5.5969996,-1.2029998,3.2990835,15.4,0.6682828,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-13,5.8469996,-4.5030003,2.0449169,2.2999997,0.6289022,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-14,6.797,0.44700003,4.67825,21.499998,0.37339112,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-15,5.397,-2.303,0.9720001,0.0,1.1345836,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-16,13.247001,-1.2029998,5.5053334,0.0,1.477512,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-17,13.597,-0.90299994,5.4740834,0.0,1.586261,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-18,13.6970005,-1.2029998,4.9115834,0.0,1.6960725,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-19,14.397,-0.55300003,6.197,0.0,1.7004147,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-20,12.547,0.347,5.5740833,0.0,1.6250898,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-21,7.447,2.897,5.9178333,1.2,0.39416865,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-22,7.947,-0.50299996,4.2261667,0.0,1.4415692,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-23,8.047,-2.103,2.06575,0.0,1.5968834,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-24,7.647,0.097,3.9928331,0.5,1.1483891,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-25,6.4969997,4.347,5.472,4.2999997,0.5146531,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-26,7.5969996,4.797,6.0928326,18.199999,0.60362756,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-27,4.297,-0.703,1.9428331,11.600001,0.5583306,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-02-28,0.99700004,-2.103,-0.87591654,0.5,1.0508151,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-01,-0.703,-3.3029997,-1.988417,2.0000002,0.82953244,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-02,2.697,-2.053,0.4095,1.7000003,0.8553347,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-03,3.997,0.347,1.8907503,1.4000002,1.0619338,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-04,7.047,0.847,3.4574172,0.0,1.5742408,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-05,6.8469996,0.947,3.3636665,0.0,1.754809,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-06,11.597,-2.803,4.407417,0.0,1.8836765,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-07,14.9470005,-0.102999985,7.769918,0.0,2.1012204,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-08,18.196999,4.9969997,10.91575,0.0,2.389484,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-09,16.296999,0.19700003,8.390751,0.0,2.2909622,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-10,11.347,1.597,6.2615833,4.7,1.2063911,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-11,9.6970005,-0.80300003,5.092833,0.3,1.6508574,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-12,8.747,-0.40299994,4.376167,0.1,1.6789186,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-13,5.397,0.897,3.17825,8.300001,0.540164,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-14,9.4470005,0.14700001,4.582417,0.0,1.3390684,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-15,9.397,1.197,4.97825,0.0,1.6123654,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-16,10.397,2.547,6.207417,0.0,1.3090223,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-17,13.647,3.5470002,7.7928333,0.0,2.2274008,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-18,14.9470005,2.797,8.45325,0.0,2.0129836,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-19,12.6970005,3.0470002,7.259499,0.0,2.0811834,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-20,12.747001,2.747,7.2532506,0.90000004,1.8647791,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-21,11.097,2.547,6.8865848,9.900002,1.5417273,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-22,11.797,1.7969999,6.794916,0.0,2.1147697,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-23,14.1970005,1.847,7.9928327,1.1,2.3805804,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-24,15.097,3.147,9.230334,0.0,2.5093565,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-25,13.1970005,3.147,8.005334,5.4999995,1.8163289,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-26,7.897,2.047,4.8365836,0.4,1.9556589,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-27,10.6970005,0.347,5.0178337,0.0,2.2855601,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-28,13.4470005,1.197,6.7011666,0.0,2.6255705,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-29,10.6970005,0.54700005,5.8907504,0.2,2.1480322,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-30,10.647,4.097,7.5824165,3.9,1.4884678,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-03-31,11.547,4.047,7.3407497,0.0,2.8649976,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-01,12.547,1.847,6.9865837,0.0,2.891782,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-02,13.497001,0.397,6.6511664,0.0,2.8770034,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-03,8.4470005,3.147,6.06575,14.100001,0.88816845,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-04,9.747001,3.7970002,6.582417,4.2999997,1.7628057,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-05,12.297,1.8970001,7.40325,0.0,2.6309881,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-06,13.4470005,1.447,7.3720016,0.4,2.8781517,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-07,12.047,0.19700003,6.8094997,0.0,2.5702991,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-08,13.747001,1.5469999,7.782417,0.0,2.8471198,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-09,15.597,4.697,9.7907505,0.0,3.040217,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-10,8.997001,1.997,6.280334,4.5,0.6675729,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-11,10.847,1.497,7.194916,3.7999997,1.0046605,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-12,10.097,6.947,8.388667,12.2,0.7317611,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-13,12.997001,8.1970005,10.192833,14.699999,0.7259359,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-14,10.4470005,6.3469996,8.5199175,34.999996,0.719617,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-15,12.9470005,6.4969997,9.424084,25.7,1.800716,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-16,10.797,4.547,7.249083,14.200001,0.99994946,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-17,7.197,3.7970002,5.10325,18.3,0.8209908,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-18,11.597,3.747,7.578249,4.1,2.233554,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-19,14.397,3.747,9.544917,1.9000002,2.242965,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-20,14.647,6.147,10.667834,3.3999996,2.370054,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-21,19.097,5.297,12.621999,4.5,3.2159543,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-22,16.897,7.047,12.0845,2.5,1.5957013,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-23,13.097,7.0969996,9.982415,6.5,2.0978584,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-24,11.047,4.797,8.359499,11.7,1.6290009,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-25,10.797,3.897,7.5199165,32.2,1.5398047,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-26,9.847,2.297,6.1324162,4.7999997,2.4838495,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-27,10.847,6.047,7.549083,14.500002,1.350512,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-28,10.297,2.897,6.8886657,2.9999998,1.8008673,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-29,15.797,0.897,9.044917,0.0,3.6596065,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-04-30,16.046999,4.2469997,10.807416,0.0,3.4898117,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-01,15.6970005,6.897,11.274085,0.0,3.7124898,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-02,17.946999,7.2469997,12.719917,0.0,3.766753,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-03,18.796999,8.147,13.472,0.0,4.381946,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-04,17.946999,8.4470005,13.067833,0.5,4.015672,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-05,17.847,6.947,12.813667,0.2,3.7591507,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-06,17.597,6.697,12.944916,0.0,3.547551,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-07,17.897,6.547,13.155332,0.3,3.7054226,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-08,18.196999,7.147,12.997001,0.70000005,3.444037,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-09,18.997,7.297,14.121999,3.5,3.194302,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-10,17.097,11.1970005,13.609501,3.9,2.485482,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-11,15.397,10.997001,12.726167,0.0,2.9051316,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-12,17.446999,7.7469997,13.094917,0.0,3.6430743,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-13,17.397,8.997001,13.4095,0.0,3.5518844,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-14,18.247,7.397,12.803248,3.1000001,3.368606,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-15,18.097,7.9969997,13.367833,0.5,3.8028598,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-16,17.497,7.9969997,13.049084,5.1,2.8303967,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-17,17.747,8.847,13.511581,1.3000001,3.2702427,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-18,18.397,10.497001,14.413666,1.3,3.4610121,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-19,16.897,10.4470005,13.744915,12.500001,2.2153738,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-20,19.696999,9.9470005,15.055332,0.0,3.3168092,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-21,22.647,10.6970005,16.815748,0.0,4.440142,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-22,23.397,13.397,18.413668,0.0,4.3712764,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-23,22.946999,12.747001,18.18033,0.2,4.0692024,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-24,22.997,12.797,18.280333,0.0,4.641054,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-25,22.647,13.6970005,18.342833,0.0,4.5994244,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-26,22.796999,12.6970005,18.130333,0.0,4.9097614,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-27,19.446999,12.747001,16.21575,0.6,4.250623,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-28,17.196999,11.347,14.347,8.0,3.5589352,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-29,19.046999,8.1970005,14.497002,4.0,3.8818326,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-30,21.446999,11.047,16.261583,0.0,4.7067113,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-05-31,22.997,12.347,17.659498,0.0,4.653026,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-01,20.747,13.1970005,16.622,3.9999998,3.5569022,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-02,17.347,12.347,14.884499,0.0,3.0672514,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-03,19.046999,12.047,15.815747,0.1,3.9042807,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-04,21.696999,12.247001,17.142836,0.0,4.8440742,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-05,22.847,11.397,17.692835,0.0,5.358517,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-06,23.847,10.847,18.634499,0.4,4.8679695,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-07,24.597,15.247001,20.3095,0.0,4.713801,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-08,26.046999,16.697,21.082415,0.1,4.6935472,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-09,26.597,15.797,21.207415,0.9,5.1854253,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-10,25.546999,16.347,20.9595,3.0,4.072996,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-11,25.097,14.497001,20.355333,0.9,3.942592,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-12,23.446999,14.547,19.39908,0.3,3.9817445,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-13,24.647,16.296999,20.247002,2.1,4.3928137,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-14,23.247,14.997001,19.351166,2.6999998,4.20616,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-15,23.546999,15.397,19.336584,9.600001,3.7743206,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-16,23.196999,15.9470005,19.58658,0.3,3.7318976,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-17,24.196999,14.797,19.926167,0.1,5.226512,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-18,17.997,13.747001,16.107416,27.0,2.2328477,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-19,22.847,11.347,17.880335,0.4,4.278564,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-20,25.196999,15.047,20.036581,0.0,5.1528115,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-21,24.147,14.4470005,19.284498,0.1,4.8349705,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-22,22.897,14.997001,18.867834,6.4,3.589365,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-23,22.997,13.397,18.680334,0.4,4.210732,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-24,23.296999,12.997001,18.89075,0.1,4.4466724,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-25,23.347,15.397,18.974085,1.4000001,4.997885,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-26,22.747,13.297,18.419916,0.1,4.5014315,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-27,23.196999,14.047,19.486582,0.3,4.385566,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-28,26.847,15.597,21.561583,0.0,5.0245194,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-29,28.946999,18.847,23.507416,0.1,5.1384015,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-06-30,29.796999,18.446999,24.192833,0.0,5.7368956,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-01,31.546999,19.097,25.499086,0.0,5.8069015,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-02,32.097,20.296999,26.149084,0.0,5.959735,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-03,32.447,21.147,26.474083,0.1,6.2138996,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-04,31.546999,19.696999,25.986582,0.0,6.4121046,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-05,34.047,21.546999,27.446999,0.0,6.418268,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-06,33.197,20.747,26.801168,2.3000002,5.9283323,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-07,29.147,19.097,23.369917,3.8,5.1896152,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-08,23.747,15.9470005,19.834497,2.1999998,4.3877635,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-09,25.296999,15.047,20.582417,0.0,4.8968973,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-10,26.446999,16.397,21.486582,0.0,5.367487,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-11,20.897,15.147,17.601168,12.299999,2.436418,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-12,23.497,13.4470005,19.047,0.3,3.9958928,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-13,25.347,13.997001,20.438665,0.1,4.785277,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-14,26.796999,18.147,22.267832,0.0,5.032267,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-15,20.796999,12.797,17.049084,25.0,1.8365201,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-16,22.446999,10.897,17.361582,0.0,4.034818,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-17,25.446999,12.9470005,19.930334,0.0,5.046058,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-18,26.747,14.997001,21.609503,0.0,5.302377,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-19,27.546999,16.897,22.588667,0.5,5.2069783,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-20,26.747,17.997,22.421999,0.0,5.2011156,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-21,27.597,17.046999,22.526167,0.0,5.045757,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-22,29.696999,16.647,23.790749,0.1,5.046441,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-23,28.147,19.747,23.863668,0.0,5.4494305,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-24,25.897,17.747,21.472,1.2,3.6561434,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-25,24.446999,16.897,20.444914,0.0,4.4783635,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-26,28.597,14.897,21.913668,0.0,5.1899095,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-27,27.997,16.697,22.4345,0.1,4.928723,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-28,27.696999,16.497,22.41992,0.1,4.8923383,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-29,27.147,17.046999,21.472,16.999998,4.1733766,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-30,23.296999,15.247001,19.178247,0.0,4.350704,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-07-31,25.097,14.147,19.963667,0.0,4.591493,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-01,25.796999,16.847,21.384497,0.0,4.4616733,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-02,26.397,17.097,21.9095,0.3,4.6180305,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-03,23.946999,11.997001,17.786581,45.0,1.5713137,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-04,20.147,10.597,14.81783,2.6,3.7458057,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-05,21.897,10.897,17.167831,1.9,4.2076755,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-06,22.946999,14.047,19.036583,0.0,4.493108,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-07,23.597,14.097,19.232416,0.2,4.2946835,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-08,23.247,14.397,18.721998,0.3,3.7757583,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-09,25.247,14.347,19.863668,0.5,4.2871947,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-10,25.647,14.347,20.52825,0.0,4.653405,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-11,26.196999,15.547,21.094917,0.0,4.739611,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-12,25.546999,16.147,20.921999,0.0,4.748129,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-13,26.247,15.9470005,21.013666,0.0,4.0974803,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-14,26.747,16.897,21.542831,0.0,4.287745,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-15,24.897,16.147,20.03033,2.4,3.9774728,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-16,20.796999,15.247001,17.699081,4.4,2.826611,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-17,22.347,15.547,18.880333,4.8,2.5944178,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-18,21.046999,15.547,18.10325,11.3,1.9922107,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-19,20.347,14.147,17.290749,11.400001,2.3488455,era5
Postojna,45.7756,14.2133,549,557.0,8.0,1950-08-20,22.196999,13.6970005,17.705332,0.0,3.4366455,era5
